epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,24142.6,1.38042,1.4492,1.59912,0.79374,0.60582,0.70405,0.3857,1.4418,1.31368,1.60767,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,24587,1.37539,1.43248,1.58942,0.79912,0.60504,0.70206,0.38613,1.43939,1.3049,1.6053,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,25030.8,1.36931,1.42525,1.59026,0.79022,0.608,0.70216,0.3866,1.43396,1.29591,1.60182,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,25474.7,1.36848,1.43096,1.58582,0.79215,0.60743,0.70286,0.38783,1.43229,1.29724,1.60131,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,25918.6,1.3603,1.40408,1.58019,0.78371,0.61224,0.70299,0.38823,1.43219,1.29567,1.60068,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,26363.7,1.36367,1.40167,1.57947,0.78707,0.61294,0.70399,0.38731,1.4301,1.29887,1.5989,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,26801.3,1.35578,1.39205,1.57022,0.78108,0.6156,0.70423,0.38728,1.4329,1.29284,1.60197,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,27237.4,1.33547,1.38152,1.56246,0.77822,0.6194,0.7057,0.38889,1.43326,1.27999,1.60267,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,27672.1,1.34022,1.37291,1.56263,0.77765,0.62095,0.70778,0.39075,1.43285,1.27964,1.60225,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,28107.5,1.34165,1.37609,1.55996,0.77976,0.61882,0.70724,0.39144,1.43131,1.27966,1.60109,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,28543.7,1.33223,1.37154,1.56066,0.78632,0.61594,0.70819,0.39283,1.42991,1.27252,1.59929,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,28980.2,1.33805,1.36086,1.56145,0.77864,0.61899,0.70867,0.39246,1.43071,1.26798,1.59989,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,29416.6,1.32896,1.35241,1.55326,0.78064,0.62048,0.70927,0.39288,1.4305,1.26391,1.59953,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,29847.4,1.32817,1.34845,1.55096,0.78886,0.61524,0.70881,0.39226,1.43001,1.25601,1.59931,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,30277,1.31512,1.33529,1.54998,0.78717,0.61773,0.70969,0.39188,1.42958,1.25224,1.60001,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,30701.8,1.30716,1.32337,1.54054,0.7842,0.61988,0.70944,0.39255,1.42866,1.25,1.60058,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,31128.3,1.30576,1.30925,1.5315,0.78403,0.61966,0.70879,0.39247,1.429,1.24435,1.60099,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
